timestamp ch1 ch2 ch3 ambient
644871352178792960 -457469 -425546 -416077 -544165
644871352186182144 -457519 -425637 -416018 -544152
644871352193571328 -457394 -425691 -416046 -544174
644871352200960512 -457540 -425587 -416059 -544228
644871352208349696 -457486 -425683 -416072 -544330
644871352215738880 -457497 -425620 -416033 -544345
644871352223128064 -457485 -425651 -416062 -544253
644871352230517248 -457406 -425629 -416097 -544256
644871352237906432 -457488 -425732 -416063 -544228
644871352245295616 -457552 -425733 -416085 -544219
644871352252684800 -457554 -425712 -416188 -544147
644871352260073984 -457580 -425632 -416043 -544225
644871352267463168 -457521 -425716 -416058 -544233
644871352274852352 -457568 -425621 -416082 -544205
644871352282241536 -457469 -425701 -416157 -544236
644871352289630720 -457442 -425658 -416048 -544222
644871352297019904 -457569 -425611 -416121 -544272
644871352304393618 -457606 -425785 -416221 -544190
644871352311783712 -457633 -425763 -416246 -544150
644871352319173806 -457627 -425763 -416179 -544161
644871352326563900 -457591 -425662 -416225 -544264
644871352333953994 -457514 -425622 -416145 -544215
644871352341344088 -457591 -425593 -416118 -544245
644871352348734182 -457501 -425594 -416059 -544280
644871352356124276 -457519 -425685 -416127 -544267
644871352363514370 -457572 -425670 -416177 -544256
644871352370904464 -457497 -425628 -416065 -544173
644871352378294558 -457471 -425703 -416080 -544215
644871352385684652 -457578 -425682 -416162 -544301
644871352393074746 -457508 -425593 -416149 -544255
644871352400464840 -457483 -425568 -416081 -544291
644871352407854934 -457437 -425575 -416025 -544185
644871352415245028 -457516 -425654 -416011 -544235
644871352422635122 -457579 -425727 -416041 -544199
644871352430025216 -457516 -425634 -416044 -544237
644871352437415314 -457638 -425644 -416094 -544302
644871352444805408 -457608 -425546 -416048 -544274
644871352452195502 -457555 -425553 -416005 -544199
644871352459585596 -457513 -425515 -416039 -544242
644871352466975690 -457519 -425587 -416084 -544361
644871352474365784 -457646 -425613 -416094 -544220
644871352481755878 -457555 -425539 -416101 -544283
644871352489145972 -457545 -425500 -416085 -544236
644871352496536066 -457585 -425494 -416043 -544356
644871352503926160 -457525 -425520 -416009 -544283
644871352511316254 -457583 -425536 -415993 -544308
644871352518706348 -457542 -425535 -416037 -544213
644871352526096442 -457477 -425592 -415997 -544221
644871352533486536 -457548 -425493 -416037 -544280
644871352540876630 -457479 -425484 -416092 -544254
644871352548266724 -457529 -425527 -416043 -544280
644871352555656818 -457575 -425571 -416073 -544337
644871352563046912 -457518 -425604 -415990 -544302
644871352570452480 -457561 -425723 -416091 -544356
644871352577841664 -457538 -425683 -416123 -544317
644871352585230848 -457631 -425759 -416143 -544257
644871352592620032 -457631 -425768 -416276 -544302
644871352600009216 -457645 -425790 -416471 -544178
644871352607398400 -457773 -425913 -416489 -544190
644871352614787584 -457730 -426074 -416551 -544212
644871352622176768 -457958 -426174 -416629 -544230
644871352629565952 -458031 -426254 -416742 -544298
644871352636955136 -458065 -426270 -416697 -544172
644871352644344320 -458116 -426418 -416865 -544168
644871352651733504 -458178 -426409 -416931 -544225
644871352659122688 -458267 -426601 -417088 -544184
644871352666511872 -458363 -426631 -417106 -544187
644871352673901056 -458381 -426773 -417187 -544131
644871352681290240 -458483 -426729 -417325 -544260
644871352688679424 -458524 -426830 -417300 -544269
644871352696068608 -458523 -426961 -417437 -544277
644871352703442322 -458597 -426993 -417546 -544252
644871352710832416 -458610 -427078 -417598 -544231
644871352718222510 -458684 -427134 -417669 -544275
644871352725612604 -458752 -427058 -417787 -544209
644871352733002698 -458758 -427169 -417703 -544231
644871352740392792 -458821 -427207 -417789 -544253
644871352747782886 -458874 -427249 -417875 -544313
644871352755172980 -458876 -427310 -417902 -544252
644871352762563074 -458951 -427365 -417853 -544257
644871352769953168 -458958 -427364 -417882 -544218
644871352777343262 -458978 -427490 -417976 -544285
644871352784733356 -459020 -427559 -418008 -544352
644871352792123450 -459158 -427562 -418115 -544319
644871352799513544 -459089 -427672 -418086 -544269
644871352806903638 -459093 -427521 -418171 -544292
644871352814293732 -459086 -427582 -418115 -544241
644871352821683826 -459126 -427646 -418138 -544314
644871352829073920 -459146 -427636 -418236 -544303
644871352836510445 -459175 -427543 -418210 -544332
644871352843897808 -459152 -427629 -418199 -544297
644871352851285171 -459264 -427500 -418343 -544208
644871352858672534 -459247 -427679 -418410 -544231
644871352866059897 -459180 -427683 -418397 -544330
644871352873447260 -459185 -427735 -418332 -544299
644871352880834623 -459233 -427833 -418429 -544394
644871352888221986 -459230 -427835 -418417 -544313
644871352895609349 -459277 -427837 -418388 -544342
644871352902996712 -459298 -427897 -418450 -544319
644871352910384075 -459300 -427835 -418480 -544349
644871352917771438 -459312 -427926 -418549 -544347
644871352925158801 -459315 -427920 -418524 -544248
644871352932546164 -459311 -428015 -418634 -544292
644871352939933527 -459423 -428019 -418527 -544347
644871352947320890 -459501 -428007 -418676 -544352
644871352954708253 -459472 -428079 -418649 -544299
644871352962095616 -459395 -428109 -418648 -544265
644871352969405622 -459455 -428137 -418581 -544194
644871352976797536 -459513 -428180 -418631 -544289
644871352984189450 -459508 -428128 -418712 -544270
644871352991581364 -459545 -428133 -418705 -544253
644871352998973278 -459480 -428119 -418764 -544204
644871353006365192 -459486 -428149 -418726 -544198
644871353013757106 -459556 -428182 -418777 -544276
644871353021149020 -459576 -428196 -418653 -544280
644871353028540934 -459501 -428209 -418728 -544264
644871353035932848 -459540 -428199 -418706 -544282
644871353043324762 -459453 -428218 -418708 -544283
644871353050716676 -459492 -428184 -418788 -544237
644871353058108590 -459519 -428242 -418772 -544268
644871353065500504 -459543 -428235 -418804 -544282
644871353072892418 -459521 -428233 -418782 -544220
644871353080284332 -459506 -428159 -418814 -544202
644871353087676246 -459601 -428121 -418822 -544240
644871353095068160 -459517 -428120 -418775 -544282
644871353102491026 -459582 -428257 -419162 -544315
644871353109881120 -459583 -428199 -418908 -544289
644871353117271214 -459533 -428241 -418878 -544192
644871353124661308 -459523 -428223 -418819 -544194
644871353132051402 -459543 -428199 -418665 -544186
644871353139441496 -459470 -428159 -418780 -544265
644871353146831590 -459527 -428155 -418683 -544264
644871353154221684 -459493 -428133 -418793 -544259
644871353161611778 -459558 -428116 -418786 -544258
644871353169001872 -459499 -428063 -418747 -544271
644871353176391966 -459507 -428119 -418691 -544258
644871353183782060 -459544 -428193 -418713 -544219
644871353191172154 -459506 -428125 -418598 -544238
644871353198562248 -459468 -428080 -418665 -544281
644871353205952342 -459408 -428052 -418660 -544216
644871353213342436 -459383 -428015 -418594 -544178
644871353220732530 -459435 -427940 -418629 -544223
644871353228122624 -459403 -427993 -418541 -544175
644871353235543679 -459467 -428059 -418533 -544310
644871353242931952 -459396 -427943 -418598 -544347
644871353250320225 -459496 -427998 -418524 -544232
644871353257708498 -459407 -428032 -418565 -544315
644871353265096771 -459410 -427925 -418570 -544277
644871353272485044 -459370 -427973 -418527 -544275
644871353279873317 -459404 -428017 -418612 -544331
644871353287261590 -459423 -427974 -418531 -544282
644871353294649863 -459373 -427982 -418555 -544326
644871353302038136 -459323 -427901 -418534 -544342
644871353309426409 -459294 -427918 -418498 -544239
644871353316814682 -459350 -427851 -418486 -544277
644871353324202955 -459357 -427909 -418482 -544304
644871353331591228 -459403 -427887 -418509 -544338
644871353338979501 -459346 -427801 -418513 -544275
644871353346367774 -459360 -427850 -418387 -544272
644871353353756047 -459336 -427818 -418445 -544266
644871353361144320 -459335 -427782 -418415 -544284
644871353368486180 -459476 -427784 -418379 -544301
644871353375877184 -459449 -427787 -418353 -544328
644871353383268188 -459322 -427824 -418366 -544290
644871353390659192 -459361 -427722 -418363 -544305
644871353398050196 -459319 -427750 -418393 -544266
644871353405441200 -459202 -427699 -418379 -544220
644871353412832204 -459226 -427632 -418287 -544167
644871353420223208 -459243 -427760 -418319 -544200
644871353427614212 -459226 -427723 -418388 -544162
644871353435005216 -459157 -427748 -418300 -544235
644871353442396220 -459190 -427791 -418287 -544119
644871353449787224 -459144 -427618 -418262 -544151
644871353457178228 -459127 -427654 -418214 -544219
644871353464569232 -459093 -427651 -418195 -544233
644871353471960236 -459122 -427597 -418149 -544275
644871353479351240 -459196 -427606 -418189 -544288
644871353486742244 -459135 -427522 -418087 -544233
644871353494133248 -459171 -427607 -418182 -544298
644871353501570687 -459174 -427584 -418075 -544441
644871353508958960 -459184 -427667 -418175 -544345
644871353516347233 -459277 -427572 -418185 -544287
644871353523735506 -459244 -427660 -418175 -544296
644871353531123779 -459316 -427697 -418291 -544306
644871353538512052 -459442 -427846 -418324 -544336
644871353545900325 -459403 -427916 -418440 -544324
644871353553288598 -459500 -428011 -418515 -544358
644871353560676871 -459566 -428115 -418636 -544258
644871353568065144 -459688 -428213 -418757 -544275
644871353575453417 -459730 -428245 -418776 -544251
644871353582841690 -459764 -428460 -418921 -544288
644871353590229963 -459781 -428517 -418996 -544266
644871353597618236 -459896 -428548 -419104 -544268
644871353605006509 -460030 -428523 -419164 -544267
644871353612394782 -460040 -428642 -419194 -544202
644871353619783055 -460100 -428770 -419232 -544282
644871353627171328 -460118 -428759 -419393 -544291
644871353634528658 -460030 -428698 -419258 -544184
644871353641918752 -460131 -428845 -419373 -544226
644871353649308846 -460287 -428893 -419532 -544267
644871353656698940 -460233 -428958 -419571 -544246
644871353664089034 -460304 -428958 -419704 -544248
644871353671479128 -460419 -429090 -419656 -544203
644871353678869222 -460345 -429153 -419670 -544169
644871353686259316 -460405 -429151 -419805 -544203
644871353693649410 -460473 -429253 -419820 -544260
644871353701039504 -460390 -429293 -419737 -544158
644871353708429598 -460494 -429252 -419844 -544243
644871353715819692 -460567 -429224 -419879 -544279
644871353723209786 -460533 -429353 -419918 -544222
644871353730599880 -460647 -429319 -419952 -544201
644871353737989974 -460597 -429384 -419873 -544249
644871353745380068 -460596 -429349 -419840 -544231
644871353752770162 -460679 -429354 -419934 -544202
644871353760160256 -460662 -429422 -420023 -544294
644871353767596781 -460575 -429395 -419911 -544362
644871353774984144 -460589 -429418 -420008 -544260
644871353782371507 -460665 -429493 -420105 -544305
644871353789758870 -460679 -429525 -420107 -544226
644871353797146233 -460681 -429595 -420160 -544282
644871353804533596 -460682 -429617 -420153 -544326
644871353811920959 -460751 -429581 -420209 -544243
644871353819308322 -460742 -429731 -420248 -544256
644871353826695685 -460845 -429725 -420348 -544384
644871353834083048 -460844 -429731 -420294 -544382
644871353841470411 -460850 -429745 -420357 -544253
644871353848857774 -460768 -429759 -420388 -544404
644871353856245137 -460830 -429757 -420313 -544305
644871353863632500 -460869 -429807 -420418 -544328
644871353871019863 -460916 -429862 -420481 -544342
644871353878407226 -460983 -429870 -420581 -544348
644871353885794589 -461033 -429995 -420508 -544293
644871353893181952 -461082 -429989 -420561 -544268
644871353900491958 -461131 -430038 -420628 -544285
644871353907883872 -461110 -430098 -420588 -544294
644871353915275786 -461102 -430055 -420601 -544310
644871353922667700 -461066 -430155 -420611 -544230
644871353930059614 -461040 -430221 -420689 -544247
644871353937451528 -461127 -430191 -420784 -544255
644871353944843442 -461123 -430218 -420673 -544317
644871353952235356 -461216 -430263 -420754 -544321
644871353959627270 -461158 -430229 -420836 -544290
644871353967019184 -461212 -430188 -420857 -544298
644871353974411098 -461178 -430245 -420825 -544321
644871353981803012 -461237 -430216 -420792 -544260
644871353989194926 -461240 -430272 -420859 -544354
644871353996586840 -461161 -430277 -420839 -544265
644871354003978754 -461182 -430354 -420857 -544289
644871354011370668 -461302 -430298 -420911 -544276
644871354018762582 -461198 -430282 -420850 -544146
644871354026154496 -461208 -430315 -420851 -544285
644871354033608319 -461124 -430317 -420762 -544430
644871354040996592 -461181 -430245 -420846 -544371
644871354048384865 -461287 -430221 -420772 -544313
644871354055773138 -461213 -430297 -420826 -544274
644871354063161411 -461198 -430361 -420828 -544222
644871354070549684 -461109 -430320 -420726 -544285
644871354077937957 -461199 -430328 -420785 -544313
644871354085326230 -461259 -430209 -420768 -544366
644871354092714503 -461210 -430293 -420684 -544355
644871354100102776 -461171 -430184 -420775 -544340
644871354107491049 -461137 -430239 -420798 -544301
644871354114879322 -461111 -430222 -420758 -544241
644871354122267595 -461141 -430281 -420846 -544249
644871354129655868 -461192 -430174 -420854 -544266
644871354137044141 -461272 -430222 -420795 -544232
644871354144432414 -461173 -430230 -420858 -544192
644871354151820687 -461173 -430270 -420889 -544352
644871354159208960 -461226 -430202 -420828 -544285
644871354166581760 -460969 -430327 -420875 -544137
644871354173970944 -461117 -430258 -420977 -544255
644871354181360128 -461195 -430276 -420948 -544345
644871354188749312 -461199 -430278 -420921 -544343
644871354196138496 -461144 -430221 -420924 -544341
644871354203527680 -461089 -430310 -420934 -544325
644871354210916864 -461172 -430262 -420836 -544317
644871354218306048 -461189 -430259 -420835 -544354
644871354225695232 -461171 -430262 -420838 -544287
644871354233084416 -461204 -430269 -420867 -544138
644871354240473600 -461153 -430270 -420829 -544289
644871354247862784 -461068 -430137 -420813 -544394
644871354255251968 -461120 -430132 -420820 -544322
644871354262641152 -461071 -430192 -420815 -544315
644871354270030336 -461040 -430156 -420783 -544271
644871354277419520 -461089 -430110 -420700 -544287
644871354284808704 -461164 -430114 -420742 -544267
644871354292197888 -461037 -430123 -420777 -544350
644871354299571602 -461170 -430163 -420723 -544340
644871354306961696 -461072 -430196 -420755 -544323
644871354314351790 -461031 -430118 -420788 -544248
644871354321741884 -460936 -430026 -420619 -544320
644871354329131978 -461024 -429974 -420597 -544258
644871354336522072 -461025 -430010 -420653 -544236
644871354343912166 -460974 -430061 -420511 -544297
644871354351302260 -461014 -430056 -420535 -544216
644871354358692354 -461029 -429949 -420548 -544246
644871354366082448 -461050 -429953 -420502 -544303
644871354373472542 -460984 -429858 -420520 -544214
644871354380862636 -461002 -429842 -420513 -544216
644871354388252730 -461007 -429875 -420468 -544335
644871354395642824 -460886 -429864 -420444 -544375
644871354403032918 -460975 -429814 -420478 -544339
644871354410423012 -460854 -429906 -420503 -544271
644871354417813106 -460782 -429759 -420381 -544237
644871354425203200 -460880 -429725 -420401 -544230
644871354432608768 -460975 -429714 -420472 -544192
644871354439997952 -461001 -429820 -420405 -544151
644871354447387136 -460963 -429877 -420396 -544195
644871354454776320 -460923 -429897 -420464 -544281
644871354462165504 -461083 -429910 -420506 -544288
644871354469554688 -461165 -430003 -420622 -544389
644871354476943872 -461106 -429986 -420536 -544306
644871354484333056 -461147 -430098 -420581 -544314
644871354491722240 -461203 -430167 -420667 -544284
644871354499111424 -461334 -430296 -420790 -544228
644871354506500608 -461412 -430384 -420876 -544191
644871354513889792 -461407 -430409 -420998 -544224
644871354521278976 -461509 -430561 -421067 -544150
644871354528668160 -461501 -430584 -421162 -544199
644871354536057344 -461712 -430645 -421272 -544226
644871354543446528 -461847 -430855 -421384 -544299
644871354550835712 -461769 -430825 -421508 -544268
644871354558224896 -461894 -430894 -421533 -544224
644871354565660507 -461983 -431084 -421539 -544273
644871354573046960 -461972 -431039 -421613 -544373
644871354580433413 -461903 -431139 -421756 -544280
644871354587819866 -462010 -431248 -421811 -544324
644871354595206319 -462045 -431191 -421749 -544224
644871354602592772 -461996 -431245 -421892 -544211
644871354609979225 -462192 -431329 -421951 -544218
644871354617365678 -462159 -431328 -421977 -544144
644871354624752131 -462127 -431409 -422020 -544158
644871354632138584 -462241 -431471 -422054 -544253
644871354639525037 -462219 -431533 -422165 -544328
644871354646911490 -462265 -431553 -422258 -544421
644871354654297943 -462283 -431608 -422251 -544324
644871354661684396 -462365 -431577 -422209 -544281
644871354669070849 -462274 -431530 -422278 -544300
644871354676457302 -462427 -431573 -422308 -544348
644871354683843755 -462404 -431559 -422237 -544327
644871354691230208 -462402 -431640 -422317 -544320
644871354698523830 -462411 -431509 -422278 -544248
644871354705915744 -462363 -431595 -422229 -544259
644871354713307658 -462370 -431677 -422376 -544300
644871354720699572 -462407 -431688 -422403 -544318
644871354728091486 -462388 -431762 -422443 -544277
644871354735483400 -462424 -431748 -422516 -544226
644871354742875314 -462465 -431729 -422460 -544217
644871354750267228 -462479 -431767 -422467 -544266
644871354757659142 -462496 -431823 -422390 -544239
644871354765051056 -462461 -431828 -422445 -544198
644871354772442970 -462505 -431855 -422468 -544178
644871354779834884 -462577 -431935 -422564 -544248
